id,DOI,year,journal,discipline,citations,relative citation score
43986423,10.1016/j.cellsig.2009.09.005,2010,CELLULAR SIGNALLING,Biomedical Research,1,0.029
43961403,10.1074/jbc.M109.045203,2010,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,5,0.146
43961398,10.1074/jbc.M109.049379,2010,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,25,0.732
43937813,10.1210/jc.2009-1346,2010,JOURNAL OF CLINICAL ENDOCRINOLOGY AND METABOLISM,Clinical Medicine,37,1.205
32844536,10.1158/1078-0432.CCR-09-0911,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,75,1.892
32722428,10.1158/0008-5472.CAN-09-1043,2009,CANCER RESEARCH,Clinical Medicine,72,1.816
32718484,10.1002/jcb.22275,2009,JOURNAL OF CELLULAR BIOCHEMISTRY,Biomedical Research,39,0.974
32718146,10.1186/1471-2350-10-88,2009,BMC MEDICAL GENETICS,Biomedical Research,19,0.472
32712996,10.1158/1078-0432.CCR-09-0264,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,7,0.177
32708429,10.1158/0008-5472.CAN-09-1448,2009,CANCER RESEARCH,Clinical Medicine,242,6.104
32229250,10.1038/pcan.2009.6,2009,PROSTATE CANCER AND PROSTATIC DISEASES,Clinical Medicine,8,0.436
32228628,10.1002/ijc.24266,2009,INTERNATIONAL JOURNAL OF CANCER,Clinical Medicine,28,0.706
32221644,10.1038/modpathol.2009.79,2009,MODERN PATHOLOGY,Clinical Medicine,56,2.499
32215723,10.1158/0008-5472.CAN-08-3901,2009,CANCER RESEARCH,Clinical Medicine,52,1.312
32207929,10.1016/j.ijrobp.2008.12.069,2009,INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,Clinical Medicine,14,0.353
32199508,10.1074/jbc.M109.036160,2009,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,27,0.674
32196258,10.1200/JCO.2008.19.9968,2009,JOURNAL OF CLINICAL ONCOLOGY,Clinical Medicine,122,3.077
32172346,10.1124/dmd.108.026021,2009,DRUG METABOLISM AND DISPOSITION,Clinical Medicine,28,1.083
32172028,10.1007/s00018-009-0098-z,2009,CELLULAR AND MOLECULAR LIFE SCIENCES,Biomedical Research,77,1.288
32149698,10.1038/onc.2009.203,2009,ONCOGENE,Biomedical Research,46,1.142
