"","Proposal Number","Publication"
"1","MP980015","Murphy FG, et al. (1997): Health Values and Practices Among Seventh-Day Adventist. Am J Health Behav 21:43-50."
"2","MP980015","Murphy FG, Blumenthal DS, Dickson-Smith J, Peay RP (1990): The mortality profile of black Seventh-Day Adventists residing in metropolitan Atlanta: a pilot study. American Journal of Public Health 80:984-5."
"3","PC000011","Varghese S, Rabkin SD, Liu R, et al.  2006. Enhanced therapeutic efficacy of IL-12, but not GM-CSF, expressing oncolytic herpes simplex virus for transgenic mouse derived prostate cancers. Cancer Gene Therapy 13:253-265."
"4","PC000017","Bates PJ, Trent JO, Miller DM, et al.  2001.  Development of antiproliferative agents targeting nucleolin.  Clin Cancer Res 7(S):157."
"5","PC000017","Xu X, Hamhouyia F, Thomas SD, et al.  2001.  Inhibition of DNA replication and induction of S phase cell cycle arrest by G-rich oligonucleotides.  J Biol Chem 276:43221-43230."
"6","PC000017","Dapic V, Bates PJ, Trent JO, et al.  2002.  Antiproliferative activity of G-quartet-forming oligonucleotides with backbone modifications.  Biochemistry 41:3676-3685."
"7","PC000017","Bates PJ, Kahlon JB, Thomas SD, et al.  1999.  Antiproliferative activity of G rich oligonucleotides correlates with protein binding.  J Biol Chem 274:26369-26377."
"8","PC000018","Doxsey S, 2002.  Duplicating dangerously:  Linking centrosome duplication and aneuploidy.  Molecular Cell 10:1-2.

"
"9","PC000018","Doxsey SJ, 2001.  Re-evaluating centrosome function.  Nature Reviews in Molecular Biology 2:688-699.

"
"10","PC000018","Pihan G, Y Zhou, J Wallace, et al.  2003. Centrosome abnormalities and genetic instability occur together in precancerous lesions.  Cancer Res 63:1398-404.
"
"11","PC000018","Doxsey SJ, 2001.  Centrosomes as command centers for cellular control.  Nat. Cell Biol. 3:E1-E3.
"
