"","Proposal Number","Publication"
"1","TS020006","Ess KC, Uhlmann EJ, Li W, et al.  2004.  Expression profiling in tuberous sclerosis complex (TSC) knockout mouse astrocytes to characterize human TSC brain pathology.  GLIA 46:28-40.

"
"2","TS020006","Zeng L, Ouyand Y, Vered G, et al. 2007. Abnormal glutamate homeostasis and impaired synaptic plasticity and learning in a mouse model of tuberous sclerosis complex. Neurobiol Dis 28:184-196"
"3","TS020006","Scheidenheim DK, Cresswell J, Haipek CA, et al.  2005.  Akt-dependent cell size regulation by the adhesion molecule on glia (AMOG) occurs independently of phosphotidylinositol 3-kinase and Rheb signaling.  Mol Cell Biol 25:3151-3162."
"4","TS020006","Ess KC, Kamp KA, Tu BP, et al.  2005.  Developmental origin of subependymal giant cell astrocytoma in tuberous sclerosis complex.  Neurology 64:1446-1449."
"5","TS020006","Jansen LA, Uhlmann EJ, Crino PB, et al.  2005.  Epileptogenesis and reduced inward rectifier potassium current in tuberous sclerosis complex-1 deficient astrocytes.  Epilepsia 46:1871-80."
"6","TS020006","Uhlmann EJ, Li W, Scheidenhelm D, et al.  2004.  Loss of tuberous sclerosis complex 1 (Tsc1) expression results in increased Rheb/S6K pathway signaling important for astrocyte cell size regulation.  GLIA 47:180-188."
"7","TS020015","·van Slegtenhorst M, Carr E, Stoyanova R, et al.  2004.  Tsc1+ and tsc2+ regulate arginine uptake and metabolism in Schizosaccharomyces pombe.  Journal of Biological Chemistry 279:12706-12713.   
"
"8","TS020021","van Slegtenhorst M, Carr E, Stoyanova R, et al.  2004.  Tsc1+ and tsc2+ regulate arginine uptake and metabolism in Schizosaccharomyces pombe.  Journal of Biological Chemistry 279:12706-12713."
"9","TS030004","Tavazoie SF, Alvarez VA, Ridenour DA, et al.  2005.  Regulation of neuronal morphology and function by the tumor suppressors Tscl and Tsc2.  Nat Neurosci 8(12):1727-1734."
"10","TS030008","Brugarolas J, Lei K, Hurley RL, et al.  2004.  Regulation of mTOR function in response to hypoxia by REDD1 and the TSC1/TSC2 tumor suppressor complex.  Genes Dev 18:2893-2904.

"
"11","TS030012","Goncharova EA, Goncharov DA, Noonan D, et al.  2004.  TSC2 modulates actin cytoskeleton and cell adhesion through TSC1-binding domain and Rac1 GTPase.  J Cell Biol 167:171-1182."
"12","TS030012","Goncharova EA, Goncharov DA, Spaits M, et al.  2006.  Modulation of cell migration and invasiveness by tumor suppressor TSC2 in lymphangioleiomyomatosis. Am J Respir Cell Mol Biol 34(4):473-480.

"
