"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"Genetic and Molecular Characterization of Drosophila Brakeless: A Novel Modifier of Merlin Phenotypes","LAJEUNESSE, DENNIS R","NF000002","DAMD17-01-1-0718","Institution: NORTH CAROLINA, UNIVERSITY OF, GREENSBORO","NFRP","New Investigator Award","Primary: Functional Study of Biological Molecules","2000","$371,050.00"
"Neurofibromin and Melanocyte Development and Differentiation","STRICKLAND, FAITH M","NF000004","DAMD17-01-1-0709","Institution: HENRY FORD HEALTH SYSTEM","NFRP","New Investigator Award","Primary: Cellular DevelopmentSecondary: Signal Transduction","2000","$463,937.34"
"Expression Profiling of Cell Lines Expressing Regulated NF2 Transcripts","PULST, STEFAN M","NF000010","DAMD17-01-1-0703","Institution: CEDARS-SINAI MEDICAL CENTER","NFRP","Idea Award","Primary: Genomics and ProteomicsSecondary: Tumor Suppresor Genes","2000","$301,385.00"
"Isolation and Characterization of NF1 Target Genes","VAN AELST, LINDA ","NF000012","DAMD17-01-1-0706","Institution: COLD SPRING HARBOR LABORATORY","NFRP","Idea Award","Primary: Genomics and Proteomics","2000","$334,000.00"
"NF1 Associated Proteins and its Role in Human Genome Maintenance","QIN, JUN ","NF000013","DAMD17-01-1-0702","Institution: BAYLOR COLLEGE OF MEDICINE","NFRP","New Investigator Award","Primary: Functional Study of Biological MoleculesSecondary: Genomics and Proteomics","2000","$447,998.00"
"QuEST: A New Approach to Molecular Staging of Tumors","STEPHENS, KAREN G","NF000014","DAMD17-01-1-0721","Institution: WASHINGTON, UNIVERSITY OF","NFRP","Idea Award","Primary: Genomic InstabilitySecondary: Clinical Biomarkers","2000","$297,888.00"
"Neurofibromatosis Type 2 Natural History Consortium","SLATTERY III, WILLIAM H","NF000015","DAMD17-01-1-0710","Institution: HOUSE RESEARCH INSTITUTE","NFRP","Investigator-Initiated Award w/o Nested Postdoc","Primary: Descriptive Epidemiology/ SurveillanceSecondary: Centers, Clinical Centers, or Consortia","2000","$2,990,234.00"
"Steroid Hormones in NF1 Tumorigenesis","WALLACE, MARGARET R","NF000016","DAMD17-01-1-0707","Institution: FLORIDA, UNIVERSITY OF","NFRP","Investigator-Initiated Award w/o Nested Postdoc","Primary: Endocrine Pathogenesis","2000","$711,454.00"
"Role of NF1 in cAMP Pathways","BERNARDS, ANDRE ","NF000017","DAMD17-01-1-0714","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Tumor Suppresor GenesSecondary: Growth Factors/Cytokines","2000","$843,960.00"
"High Sensitivity SELDI Analysis of NF1 Interactors in Mammals, Drosophila, and Yeast","FOSTER, ROSEMARY ","NF000018","DAMD17-01-1-0715","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Idea Award","Primary: Functional Study of Biological MoleculesSecondary: Genomics and Proteomics","2000","$346,000.00"
