"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"Amplification of the Endothelin A Receptor Gene: A Potential Molecular Biomarker of Aggressive Prostate Cancer in African Americans","NELSON, JOEL B","MP980001","DAMD17-99-1-9046","Institution: JOHNS HOPKINS UNIVERSITY","PCRP","Minority Population Focused Training Award","Primary: Biomarkers","1997","$49,279.00"
"The Role of African American and Caucasian Wives in Prostate Cancer Screening Decisions","BOEHMER, ULRIKE ","MP980002","DAMD17-99-1-9052","Institution: BOSTON UNIVERSITY, BOSTON CAMPUS","PCRP","Minority Population Focused Training Award","Primary: Basic Behavioral","1997","$48,395.00"
"Modeling Differential Rates of Increase of Serial PSA in African Americans and Caucasians Following Radical Prostatectomy","BANERJEE, MOUSUMI ","MP980003","DAMD17-99-1-9036","Institution: WAYNE STATE UNIVERSITY","PCRP","Minority Population Focused Training Award","Primary: Clinical Biomarkers","1997","$49,149.00"
"Regulation of Cell Cyclin Dependent Kinase Inhibitors in the Prostate Cell by RRR-Alpha-Tocopheryl Succinate","ASHTORAB, HASSAN ","MP980004","DAMD17-99-1-9043","Institution: HOWARD UNIVERSITY, WASHINGTON","PCRP","Minority Population Focused Training Award","Primary: Cell Cycle","1997","$49,435.00"
"Development of Methods to Isolate Recombinant Antibodies Against Prostate Cancer Antigens","WILLIAMS, MYRON ","MP980005","DAMD17-99-1-9042","Institution: CLARK ATLANTA UNIVERSITY","PCRP","Minority Population Focused Training Award","Primary: Tumor Immunology","1997","$49,995.00"
"Fruit and Vegetable Intake and Prostate Cancer Outcomes Among African American Men","STEPHENS, TORRANCE ","MP980006","DAMD17-99-1-9037","Institution: EMORY UNIVERSITY","PCRP","Minority Population Focused Training Award","Primary: Nutritional EpidemiologySecondary: Quality of Life","1997","$34,284.00"
"Prostate Specific Antigen Density of the Transition Zone in Ethnically Diverse Men","TE, ALEXIS ","MP980007","DAMD17-99-1-9041","Institution: COLUMBIA UNIVERSITY","PCRP","Minority Population Focused Training Award","Primary: Ultrasonography","1997","$49,516.00"
"Prostate Cancer Screening Efficacy in African Americans Using Case-Control Methodology","GODLEY, PAUL ","MP980008","DAMD17-99-1-9044","Institution: NORTH CAROLINA AT CHAPEL HILL, UNIVERSITY OF","PCRP","Minority Population Focused Training Award","Primary: Health Care SettingsSecondary: Communities","1997","$49,470.00"
"A Simple, Non-Embarassing Blood Test for Prostate and Other Cancers","CAULFIELD, HENRY ","MP980009","DAMD17-99-1-9045","Institution: FISK UNIVERSITY, NASHVILLE","PCRP","Minority Population Focused Training Award","Primary: Cell/Tissue/ Body Fluid Sampling","1997","$46,084.00"
"Comorbidities and Health Outcomes of African-American Men With Prostate Cancer:  Analysis of Outpatient Claims and Hospital Discharge Data","HOKE, GERALD ","MP980010","DAMD17-99-1-9040","Institution: COLUMBIA UNIVERSITY","PCRP","Minority Population Focused Training Award","Primary: Communities","1997","$49,113.00"
