"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"Enhancing Post-Traumatic Pain Relief with Alternative Perineural Drugs","WILLIAMS, BRIAN A","OR090012","W81XWH-10-2-0097","Institution: PITTSBURGH, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: PharmacologySecondary: Symptom Management","2009","$1,004,469.00"
"Enhancing Post-Traumatic Pain Relief with Alternative Perineural Drugs","GOLD, MICHAEL S","OR090012P1","W81XWH-10-2-0098","Institution: PITTSBURGH, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: PharmacologySecondary: Symptom Management","2009","$37,392.00"
"Enhancing Post-Traumatic Pain Relief with Alternative Perineural Drugs","GEBHART, GERALD F","OR090012P2","W81XWH-10-2-0099","Institution: PITTSBURGH, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: PharmacologySecondary: Symptom Management","2009","$66,944.16"
"Enhancing Post-Traumatic Pain Relief with Alternative Perineural Drugs","BUCKENMAIER III, CHESTER C","OR090012P3","W81XWH-10-2-0100","Performing Institution: WALTER REED NATIONAL MILITARY MEDICAL CENTERContracting Institution: HENRY M. JACKSON FOUNDATION","PRORP","Translational Research Partnership Award","Primary: PharmacologySecondary: Symptom Management","2009","$0.00"
"Mobile Gait Analysis System for Lower Limb Amputee High-Level Activity Rehabilitation","ERICSON, M. NANCE ","OR090035","W81XWH-10-2-0087","Performing Institution: U.S. ARMY BROOKE ARMY MEDICAL CENTER (BAMC)","PRORP","Technology Development Award","Primary: RehabilitationSecondary: Computer-aided Diagnosis","2009","$2,515,321.00"
"Synthetic Periosteal Tissue Microenvironment Enhancing the Repair of Critical-Sized Long Bone Defects","SONG, JIE ","OR090043","W81XWH-10-1-0574","Institution: MASSACHUSETTS, UNIVERSITY OF, MEDICAL SCHOOL","PRORP","Idea Development Award","Primary: Not Otherwise SpecifiedSecondary: Cellular Development","2009","$657,229.20"
"Engineered PlyCB as a Novel Implant Coating for Osseointegration","NELSON, DANIEL C","OR090055","W81XWH-10-1-0752","Institution: MARYLAND, UNIVERSITY OF, COLLEGE PARK","PRORP","Hypothesis Development Award","Primary: Cell AdhesionSecondary: Rehabilitation","2009","$149,799.00"
"Noninvasive Thermal Ablation of Osteomyelitis-Causing Bacteria Using Functionalized Nanoparticles","NELSON, DANIEL C","OR090059","W81XWH-10-1-0756","Institution: MARYLAND, UNIVERSITY OF, COLLEGE PARK","PRORP","Hypothesis Development Award","Primary: Targeted TherapiesSecondary: Nanotechnology","2009","$149,799.00"
"The Prosthetic Socket Microhabitat and Infection Prevention for the Active Amputee","KIRKUP, BENJAMIN C","OR090062","FAD","Institution: WALTER REED ARMY INSTITUTE OF RESEARCH (WRAIR)","PRORP","Idea Development Award","Primary: Not Otherwise Specified","2009","$615,142.00"
"Development and Translation of a Tissue-Engineered Disc in a Preclinical Rodent Model","ELLIOTT, DAWN M","OR090090","W81XWH-10-1-0948","Institution: PENNSYLVANIA, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: RehabilitationSecondary: Surgery","2009","$639,161.00"
"Development and Translation of a Tissue-Engineered Disc in a Preclinical Rodent Model","MAUCK, ROBERT L","OR090090P1","W81XWH-10-1-0949","Institution: PENNSYLVANIA, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: Animal ModelsSecondary: Rehabilitation","2009","$414,711.00"
"Development and Translation of a Tissue-Engineered Disc in a Preclinical Rodent Model","MAUCK, ROBERT ","OR090090P2","W81XWH-10-1-0950","Performing Institution: VA MEDICAL CENTER, PHILADELPHIAContracting Institution: PHILADELPHIA RESEARCH AND EDUCATION FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Animal ModelsSecondary: Rehabilitation","2009","$77,520.00"
"Development of Novel Point-of-Care Treatment for Articular Cartilage Injury","PAEK, HYUN J","OR090119","W81XWH-10-1-0849","Institution: TISSUE GENESIS, INC.","PRORP","Translational Research Partnership Award","Primary: RehabilitationSecondary: Targeted Therapies","2009","$419,222.00"
"Development of Novel Point-of-Care Treatment for Articular Cartilage Injury","TUAN, ROCKY S","OR090119P1","W81XWH-10-1-0850","Institution: PITTSBURGH, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: RehabilitationSecondary: Functional Study of Biological Molecules","2009","$680,330.00"
"Development of Subischial Prosthetic Sockets with Vacuum-Assisted Suspension for Highly Active Persons with Transfemoral Amputations","FATONE, STEFANIA ","OR090122","W81XWH-10-1-0744","Institution: NORTHWESTERN UNIVERSITY, CHICAGO, ILLINOIS","PRORP","Technology Development Award","Primary: RehabilitationSecondary: Not Otherwise Specified","2009","$2,075,372.85"
"A Novel Approach to Regeneration of Bone: Using Focused Ultrasound for the Spatiotemporal Patterning of Angiogenic and Osteogenic Factors","FRANCESCHI, RENNY T","OR090134","W81XWH-10-1-0992","Institution: MICHIGAN, UNIVERSITY OF","PRORP","Hypothesis Development Award","Primary: Biologics","2009","$151,538.00"
"Spectroscopic Biomarkers for Monitoring Wound Healing and Infection in Combat Wounds","ELSTER, ERIC A","OR090136","W81XWH-10-2-0162","Performing Institution: WALTER REED NATIONAL MILITARY MEDICAL CENTERContracting Institution: THE GENEVA FOUNDATION","PRORP","Idea Development Award","Primary: Clinical BiomarkersSecondary: Spectrometry","2009","$452,725.29"
"In-Socket Monitoring of Limb Volume for Maintenance of Limb Volume/Mass","SANDERS, JOAN ","OR090142","W81XWH-10-1-1035","Institution: WASHINGTON, UNIVERSITY OF","PRORP","Technology Development Award","Primary: Computer-aided DiagnosisSecondary: Rehabilitation","2009","$2,605,769.00"
"An Exotendon Orthosis to Improve Mobility for Military Personnel Recovering from Combat-Related Injuries","GLAISTER, BRIAN ","OR090159","W81XWH-10-1-0584","Institution: EMPOWERING ENGINEERING TECHNOLOGIES CORP.","PRORP","Hypothesis Development Award","Primary: RehabilitationSecondary: Therapeutic Modeling","2009","$140,000.00"
"Regenerative Medicine and Restoration of Joint Function","KANDEL, RITA ","OR090169","W81XWH-10-1-0787","Institution: MOUNT SINAI HOSPITAL, SAMUEL LUNENFELD RESEARCH INSTITUTE","PRORP","Translational Research Partnership Award","Primary: Rehabilitation","2009","$1,002,974.00"
"Regenerative Medicine and Restoration of Joint Function","ZALZAL, PAUL ","OR090169P2","W81XWH-10-1-0786","Institution: MCMASTER UNIVERSITY","PRORP","Translational Research Partnership Award","Primary: Rehabilitation","2009","$4,255.00"
"Ready-to-Use Tissue Construct for Military Bone and Cartilage Trauma","LEE, FRANCIS Y","OR090175","W81XWH-10-1-0933","Institution: COLUMBIA UNIVERSITY","PRORP","Technology Development Award","Primary: SurgerySecondary: Rehabilitation","2009","$3,169,362.00"
"Tissue Ultrafiltration, Biomarkers, and Pressure Measurement in Polytrauma Patients with Tibia Fracture: A Randomized Trial Emphasizing Long-Term Outcomes","SCHMIDT, ANDREW H","OR090184","W81XWH-10-1-0750","Institution: TWIN STAR MEDICAL, INC.","PRORP","Clinical Trial Award","Primary: RehabilitationSecondary: Symptom Management","2009","$2,046,493.49"
