"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"Mouse Models of TSC-Related Epilepsy","GUTMANN, DAVID ","TS020006","DAMD17-03-1-0073","Institution: WASHINGTON UNIVERSITY","TSCRP","Idea Development Award","Primary: Cellular DevelopmentSecondary: Electrophysiology","2002","$424,682.00"
"Functions of TSC Genes in the Nervous System in Drosophila
Melanogaster","ITO, NAOTO ","TS020015","DAMD17-03-1-0278","Institution: MASSACHUSETTS GENERAL HOSPITAL","TSCRP","Idea Development Award","Primary: Cellular DevelopmentSecondary: Functional Study of Biological Molecules","2002","$420,569.00"
"TSC1 and TSC2 Gene Homologs in  Schizosaccharomyces Pombe","HENSKE, ELIZABETH ","TS020021","DAMD17-03-1-0252","Institution: FOX CHASE CANCER CENTER","TSCRP","Idea Development Award","Primary: Cell CycleSecondary: Functional Study of Biological Molecules","2002","$398,751.00"
"The Role of TSC1 in the Formation and Maintenance of Excitatory Synapses","SABATINI, BERNARDO ","TS030004","W81XWH-04-1-0309","Institution: HARVARD UNIVERSITY, BOSTON","TSCRP","Idea Development Award","Primary: Functional Study of Biological MoleculesSecondary: Electrophysiology","2003","$425,000.00"
"Hypoxia-Inducible Factor Regulation by the TSC2 Tumor Suppressor Protein","KAELIN, WILLIAM G","TS030008","W81XWH-04-1-0439","Institution: DANA-FARBER CANCER INSTITUTE","TSCRP","Idea Development Award","Primary: Signal TransductionSecondary: Angiogenesis","2003","$355,465.44"
"The Role of TSC Proteins in Regulating Cell Adhesion and Motility","KRYMSKAYA, VERA P","TS030012","W81XWH-04-1-0819","Institution: PENNSYLVANIA, UNIVERSITY OF","TSCRP","Idea Development Award","Primary: Cellular StructureSecondary: Signal Transduction","2003","$149,725.42"
"The Role of GSK3 in Regulating Hamartin Phosphorylation and Activity in Response to Nutrients and Growth Factors","STOKOE, DAVID -","TS030017","W81XWH-04-1-0398","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","TSCRP","Idea Development Award","Primary: Signal TransductionSecondary: Transcription, Translation and Modification","2003","$424,991.00"
"Tuberous Sclerosis Complex National Database","SPARAGANA, STEVEN P","TS043004","W81XWH-04-1-0896","Institution: TEXAS, UNIVERSITY OF, SOUTHWESTERN MEDICAL CENTER AT DALLAS","TSCRP","Natural History Development Award","Primary: Computer ModelsSecondary: Descriptive Epidemiology/ Surveillance","2004","$141,307.00"
"Functional Relevance of the Ras-Related GTPase Rheb in Tuberous Sclerosis","CASTRO, ARIEL F","TS043006","W81XWH-05-1-0601","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","TSCRP","Idea Development Award","Primary: Signal TransductionSecondary: Chemotherapy","2004","$275,000.00"
"Fission Yeast Model Study for Dissection of TSC Pathway","MATSUMOTO, TOMOHIRO ","TS043009","W81XWH-05-1-0140","Institution: KYOTO UNIVERSITY","TSCRP","Idea Development Award","Primary: Signal Transduction","2004","$451,500.00"
