"","Proposal Number","Publication"
"1","NF000002","LaJeunesse DR, Buckner SM, and Lake J, et al.  2004.  Three new Drosophila markers of intracellular membranes.  Biotechniques 36:2-6."
"2","NF000004","He HB, Guzman EA, Croxen A, et al.  2005.  Hepatocyte growth factor/c-Met signaling promotes phosphorylation of MITF in melanocytes.  J Invest Dermatol 124(4):A96.  American Society for Investigative Dermatology Meeting.
"
"3","NF000010","·Oh M, Scoles DR, Haipek C, et al. 2003. Genetic heterogeneity of stably transfected cell lines revealed by expression profiling with oligonucleotide microarrays. Jour. of Cell Biochem. In press."
"4","NF000014","Stephens K.  2003.  Genetics of neurofibromatosis 1-associated peripheral nerve sheath tumors.  Cancer Investigation 21:901-918."
"5","NF000015","Slattery WH.  2004.  Vestibular schwannoma growth rates in NF2 natural history consortium subjects.  Otol Neurotol 25(5):811-817."
"6","NF000015","Slattery WH.  2003.  Magnetic resonance imaging scanner reliability for measuring changes in vestibular schwannoma size.  Otol Neurotol 24(4):660-670."
"7","NF000015","Slattery WH.  2004.  Hearing changes after diagnosis in NF2.  Otol Neurotol 25(2):150-154."
"8","NF000017","Kim TJ, Cariappa A, Iacomini J. et al.  2002. Defective proliferative responses in B lymphocytes and thymocytes that lack neurofibromin.  Mol Immunol 38: 701-8. 
"
"9","NF000017","Tong J, Hannan F, Zhu Y, Bernards A, Zhong Y (2002): Neurofibromin regulates G protein-stimulated adenylyl cyclase activity. Nat Neurosci 5:95-6."
"10","NF000017","Bernards A (2003): GAPs galore!  A survey of putative Ras superfamily GTPase activating proteins in man and Drosphilia. Biochem Biophys Acta  1603:47-82."
"11","NF000017","Bernards A, Hariharan IK (2001): Of flies and men--studying human disease in Drosophila. Curr Opin Genet Dev 11:274-8."
"12","NF000020","Nunes F, Shen Y, Niida Y, et al.  2005.  Inactivation patterns of NF2 and DAL-1/4.1B (EPB41L3) in sporadic meningioma.  Cancer Genet Cytogenet 162:135-39."
"13","NF000020","Heinrich B, Hartmann, C, Stemmer-Rachamimov AO, et al.  2003. Multiple meningiomas: Investigating the molecular basis of sporadic and familial forms.  Int J Cancer 103:483-8."
"14","NF000020","Eckstein O, Stemmer-Rachamimov A, Nunes F, et al.  2005.  Multiple meningiomas in brain and lung due to acquired mutation of the NF2 gene.  Neurology 62:1904-5."
"15","NF000023","Aquirre A, Rizvi TA, Ratner N, et al.  2005.  Overexpression of EGF receptor confers migratory properties to non-migratory postnatal neural progenitors.  J Neurosci. 25(48):11092-106."
"16","NF000023","·Bennett MR, Rizvi TA, McKinnon R, and Ratner N. 2003. Aberrant growth and differentiation of oligodendrocyte progenitors in neurofibromatosis type 1 mutants. J. Neurosci. 23(18):7207-7217."
"17","NF000024","Golay X, Gillen J, van Zijl PC, Barker PB (2002): Scan time reduction in proton magnetic resonance spectroscopic imaging of the human brain. Magn Reson Med 47:384-7."
"18","NF000024","Horska A, Calhoun VD, Bradshaw DH, Barker PB (2002): Rapid method for correction of CSF partial volume in quantitative proton MR spectroscopic imaging. Magn Reson Med 48:555-8."
"19","NF000025","·Kang BS, D Cooper, F Jelen, et al., 2003.  PDZ-tandem of human syntenin:  Crystal structure and functional properties.  Structure 11:459-468.
"
"20","NF000025","Beom Sik Kang, David Cooper, Yancho Devedjiev, Urszula Derewenda, Zygmunt
Derewenda. The structure of the FERM domain of merlin, the neurofibromatosis
type 2 gene product. Acta Crystallographica D Biological Crystallography. 2002.
58 (Pt 3):381-91."
"21","NF000025","Beom Sik Kang, David Cooper, Filip Jelen, Yancho Devedjiev, Urszula Derewenda,
Zbigniew Dauter, Jacek Otlewski, Zygmunt S. Derewenda. PDZ-tandem of
human syntenin: crystal structure and functional properties. Structure. 2003.
11:459-468."
"22","NF000025","Beom Sik Kang, David Cooper, Yancho Devedjiev, Urszula Derewenda, Zygmunt S.
Derewenda. Molecular roots of egenerate specificity in syntenin¿s PDZ2 domain: reassessment of the PDZ recognition paradigm. Structure. 2003. 11:845-853."
"23","NF000025","Beom Sik Kang, Yancho Devedjiev, Ulla Derewenda, Zygmunt Derewenda. The PDZ2
21 Domain of Syntenin at Ultra-high Resolution: Bridging the Gap Between
Macromolecular and Small Molecule Crystallography. Journal of Molecular
Biology. 2004. 338:483-493."
"24","NF000025","·Kang BS, D Cooper, Y Devedjiev, et al., 2003.  Molecular roots of degenerate specificity in syntenin's PDZ2 domain:  Reassessment of the PDZ recognition paradigm.  Structure 11:845-853.
"
"25","NF000025","Kang BS, Cooper DR, Devedjiev Y, Derewenda U, Derewenda ZS (2002): The structure of the FERM domain of merlin, the neurofibromatosis type 2 gene product. Acta Crystallogr D Biol Crystallogr 58:381-91."
"26","NF000027","Dombi E, Solomon J, Gillespie AJ, et al.  2007. NF1 plexiform neurofibroma growth rate by volumetric MRI: relationship to age and body weight. Neurology 68(9):643-647."
"27","NF000029","Kim S, McAuliffe W, Zaritskaya L.  2004.  Selective induction of TR6/DcR3 release by bacterial antigens in human monocytes and a dendritic cell subset.  Infection and Immunity 72(1):89-93."
"28","NF000029","Chen J, Xu X-M, Underhill CB, et al.  2005.  Tachyplesin activates the classical complement pathway to kill tumor cells.  Cancer Res 65(11):4614-22."
"29","NF000029","Chen J, Zhang L, and Kim S. 2004.  Quantification and detection of DcR3, a decoy receptor in TNFR family.  J Immunol Methods 285(1):63-70."
"30","NF000029","Liu N, Xu XM, Chen J, et al.  2004.  A hyaluronan-binding peptide can inhibit tumor growth by interacting with Bcl-2.  International Journal of Cancer 109:49-57.
"
"31","NF000029","Xu XM, Chen Y, Chen J, Yang S, Gao F, Underhill CB, Creswell K, Zhang L (2003): A peptide with three hyaluronan binding motifs inhibits tumor growth and induces apoptosis. Cancer Research  63:5685-5690."
"32","NF000032","Williams JA, Su HS, Bernards A, Field J, Sehgal A (2001): A circadian output in Drosophila mediated by neurofibromatosis-1 and Ras/MAPK. Science 293:2251-2256."
"33","NF000032","Zhou GL, Zhou Y, King CC, et al.  2003.  Akt phosphorylation of serine 21 on Pak1 modulates Nck binding and cell migration.  
Mol Cell Biol 23(22):8058-8069.
"
"34","NF000032","Li Y, Gonzalez MI, Meinkoth JL, et al.  2003.  Lysophosphatidic acid promotes survival and differentiation of rat schwann cells. J Biol Chem 278(11):9585-9591."
"35","NF000035","Ingram DA, Hiatt K, King AJ, Fisher L, Shivakumar R, Derstine C, Wenning MJ, Diaz B, Travers JB, Hood A, Marshall M, Williams DA, Clapp DW (2001): Hyperactivation of p21(ras) and the hematopoietic-specific Rho GTPase, Rac2, cooperate to alter the proliferation of neurofibromin-deficient mast cells in vivo and in vitro. J Exp Med 194:57-69."
"36","NF000035","Haitt K, Ingram DA, Huddleston H, et al.  2003.  Loss of the Nf1 tumor suppressor gene decreases Fas antigen in myeloid cells.  Am. J. Pathology 164:1471-9."
"37","NF000035","Yang FC, Ingram DA, Chen S, et al.  2003.  Neurofibromin-deficient Schwann cells secrete a potent migratory stimulus for NF1 +/- mast cells.  J. Clin. Invest. 112:1581-1861."
