,Proposal Number,Publication
1,OR090012,"Yilmaz-Rastoder E, Gold MS, Hough KA, et al.  2012.  Effect of adjuvant drugs on the action of local anesthetics in isolated rat sciatic nerves.  Reg Anesth Pain Med 37:403-409."
2,OR090012,"Williams BA, Schott NJ, Mangione MP, et al.  2014.  Perineural dexamethasone and multimodal perineural analgesia:  How much is too much?  In:  Effects of perineural versus intravenous dexamethasone on sciatic nerve blockade outcomes:  A randomized, double-blind, placebo-controlled study (Rahangdale, Ed.).  Anesth Analg 118(5):912-914."
3,OR090012P1,"Yilmaz-Rastoder E, Gold MS, Hough KA, et al.  2012.  Effect of adjuvant drugs on the action of local anesthetics in isolated rat sciatic nerves.  Reg Anesth Pain Med 37:403-409."
4,OR090012P2,"Yilmaz-Rastoder E, Gold MS, Hough KA, et al.  2012.  Effect of adjuvant drugs on the action of local anesthetics in isolated rat sciatic nerves.  Reg Anesth Pain Med 37:403-409."
5,OR090012P3,"Yilmaz-Rastoder E, Gold MS, Hough KA, et at.  2012.  Effect of adjuvant drugs on the action of local anesthetics in isolated rat sciatic nerves.  Reg Anesth Pain Med 37:403-409."
6,OR090043,Kutikov A and Song J.  2013.  An amphiphilic degradable polymer/hydroxyapatite composite with enhanced handling characteristics promotes osteogenic gene expression in bone marrow stromal cells.  Acta Biomaterialia 9(9):8354-8364.
7,OR090043,"Filion TM, Kutikov A and Song J.  2011.  Chemically modified cellulose fibrous meshes for use as tissue engineering scaffolds.  Bioorg Med Che. Lett 21:5067-5070."
8,OR090043,Filion T and Song J.  2013.  A sulfated nanofibrous mesh supporting the osteogenic differentiation of periosteum-derived cells.  J Biomater Tissue Eng 3(4):1-7 (Special Issue 'Nano-biomaterials for Tissue Engineering in North America').
9,OR090090,"Martin JT, Milby AH, Chiaro JA, et al.  2014.  Translation of an engineered nanofibrous disc-like angle ply structure for intervertebral disc replacement in a small animal model.  Acta Biomaterialia 10(6):2473-2481."
10,OR090090,"Martin JT, Collins CM, Ikuta K, et al.  2015.   Population average T2 MRI Maps reveal quantitative regional transformations in the degenerating rabbit intervertebral disc that vary by lumbar level.  J Orthop Res 33(1):140-148."
11,OR090090,"Kim DH, Martin JT, Elliott DM, et al.  2015.  Phenotypic stability, matrix elaboration, and functional maturation of nucleus pulposus cells encapsulated in photocrosslinkable hyaluronic acid hydrogels.  Acta Biomaterialia 15:12:21-29."
12,OR090090P1,"Martin JT, Collins CM, Ikuta K, et al.  2015.   Population average T2 MRI Maps reveal quantitative regional transformations in the degenerating rabbit intervertebral disc that vary by lumbar level.  J Orthop Res 33(1):140-148."
13,OR090090P1,"Kim DH, Martin JT, Elliott DM, et al.  2015.  Phenotypic stability, matrix elaboration, and functional maturation of nucleus pulposus cells encapsulated in photocrosslinkable hyaluronic acid hydrogels.  Acta Biomaterialia 15:12:21-29."
14,OR090090P1,"Martin JT, Milby AH, Chiaro JA, et al.  2014.  Translation of an engineered nanofibrous disc-like angle ply structure for intervertebral disc replacement in a small animal model.  Acta Biomaterialia 10(6):2473-2481."
15,OR090119,"Bean AC, and Tuan RS.  2015.  Fiber diameter and seeding density influence chondrogenic differentiation of mesenchymal stem cells seeded on electrospun poly(epsilon-caprolactone) scaffolds.  Biomed Mater 10(1):015018."
16,OR090119,"Lin H, Cheng AW, Alexander PG, et al.  2014.  Cartilage tissue engineering application of injectable gelatin hydrogel with in situ visible-light-activated gelation capability in both air and aqueous solution.  Tissue Eng Part A 20(17-18): 2402-2411."
17,OR090119,"Lin H, Zhang D, Alexander PG, et al.  2013.  Application of visible light-based projection stereolithography for live cell-scaffold fabrication with designed architecture.  Biomaterials 34(2):331-339."
18,OR090119,"Alexander PG, McCarron JA, Levine MJ, et al.  2012.  An in vivo lapine model for impact-induced injury and osteoarthritic degeneration of articular cartilage.  Cartilage 3:323-333."
19,OR090119,"Alexander PG, Song Y, Taboas J, et al.  2013.  Development of a spring-loaded impact device to deliver injurious mechanical impact to articular cartilage surface.  Cartilage 4:52-62."
20,OR090119P1,Bean AC and Tuan RS.  2015.  Fiber diameter and seeding density influence chondrogenic differentiation of mesenchymal stem cells seeded on electrospun poly(epsilon-caprolactone) scaffolds.  Biomed Mater 10(1):015018.
21,OR090119P1,"Lin H, Cheng AW, Alexander PG, et al.  2014.  Cartilage tissue engineering application of injectable gelatin hydrogel with in situ visible-light-activated gelation capability in both air and aqueous solution.  Tissue Engin Part A 20(17-18):2402-2411."
22,OR090119P1,"Lin H, Zhang D, Alexander PG, et al.  2013.  Application of visible light-based projection stereolithography for live cell-scaffold fabrication with designed architecture.  Biomaterials 34(2):331-339."
23,OR090119P1,"Alexander PG, Song Y, Taboas J, et al.  2013.  Development of a spring-loaded impact device to deliver injurious mechanical impact to articular cartilage surface.  Cartilage 4:52-62."
24,OR090119P1,"Alexander PG, McCarron JA, Levine MJ, et al.  2012.  An in vivo lapine model for impact-induced injury and osteoarthritic degeneration of articular cartilage.  Cartilage 3:323-333."
25,OR090119P1,"Jiang Y, Hu C, Yu S, et al.  2015.  Cartilage stem/progenitor cells are activated in osteoarthritis via interleukin-1¿/nerve growth factor signaling. Arthritis Res Ther 17:327."
26,OR090122,"Major M, Caldwell R and Fatone S.  2015.  Evaluation of a hybrid vacuum pump to provide vacuum-assisted suspension for above-knee prostheses.  J Med Device 9(4):044504."
27,OR090122,"Major M, Caldwell R and Fatone S.  2015.  Comparative effectiveness of electric vacuum pumps for creating suspension in transfemoral sockets.  J Prosthet Orthot 27(4):149-153."
28,OR090122,"Komolafe O, Wood S, Caldwell R, et al.  2013.  Methods for characterization of mechanical and electrical prosthetic vacuum pumps.  J Rehabil Res Dev 50(8):1069-2078."
29,OR090134,"Wilson CG, Martín-Saavedra FM, Vilaboa-Díaz N, et al.  2013.  Advanced BMP gene therapies for temporal and spatial control of bone regeneration (review including unpublished data).  J Dental Res 92:409-417. "
30,OR090134,"Wilson CG, Martin-Saavedra FM, Padilla F, et al.  2014.  Patterning regenerative transgene expression with high intensity foculsed ultrasound.  Tissue Eng Part C Methods 20(10):769-779."
31,OR090134,"Martín-Saavedra FM, Wilson CG, Voellmy R, et al.  2013.  Spatiotemporal control of vascular endothelial growth factor expression using a heat shock and rapamycin-dependent gene switch. Human Gene Therapy 24(3):160-170."
32,OR090134,"Wilson CG, Padilla R, Zhang M, et al.  2012.  Ultrasound-induced hyperthermia for the spatiotemporal control of gene expression in bone repair.  AIP Conf Proc 1481:457."
33,OR090136,Crane NJ and Elster EA.  2012.  Profiling wound healing with wound effluent: Raman spectroscopic indicators of infection.  Proceedings of SPIE 8220-8227. 
34,OR090136,"Phinney S, Crane NJ, Gage FA, et al.  2011.  Use of Optical Imaging and Spectroscopy in Assessment of Organ Perfusion.  In: Organ Preservation and Reengineering.  (Uygun K, and Lee C, Eds.).  Artech House, Norwood, Massachusetts 137-159."
35,OR090136,"Crane NJ, O¿Brien FP, Forsberg JA, et al.  2011.  Developing a toolbox for analysis of warrior wound biopsies: vibrational spectroscopy.  Proceedings, SPIE 7895-24."
36,OR090136,Crane NJ and Elster EA.  2012.  Vibrational spectroscopy: A tool being developed for the noninvasive monitoring of wound healing.  J Biomed Opt 17(1): 010902.
37,OR090136,"Crane NJ, Huffman SW, Alemozaffar M, et al.  2013.  Evidence of a heterogeneous tissue oxygenation: Renal ischemia/reperfusion injury in a large animal model.  J Biomed Opt 18(3):035001."
38,OR090136,"Crane NJ, Polfer E, Elster EA, et al.  2013.  Raman spectroscopic analysis of combat-related heterotopic ossification development.  Bone 57(2):335-342."
39,OR090136,"Potter BK, Forsberg JA, Davis TA, et al.  2010.  Heterotopic Ossification Following Combat-Related Trauma.  J Bone Joint Surg 92:74-89."
40,OR090142,Sanders JE.  2014.  Transtibial amputee lose most fluid volume during standing: Research on fluid volume mayone day lead to the development of prostheses that adjust with volume change by casey tingle.  O & P Business News.
41,OR090142,"Sanders JE, Hartley TL, Phillips RH, et al.  2016.  Does temporary socket removal affect residual limb fluid volume of trans-tibial amputees?  Prosthet Orthot Int 40(3):320-328."
42,OR090169,"Mollon B, Kandel R, Chahal J, et al.  2013.  The clinical status of cartilage tissue regeneration in humans.  Osteoarthritis Cartilage 21(12):1824-1833."
43,OR090169,"Taylor DW, Ahmed N, Lunstrum GP, et al.  2015.  Collagen type XII and versican are accumulated in the pericellular matrix in the early stages of tissue formation by redifferentating passaged chondrocytes. Tissue Eng Part A 21(3-4):683-693."
44,OR090169,"Vlasea M, Azhari A, Basalah A, et al.  2015.  Additive manufacturing for bone load bearing applications.  In: 3D Bioprinting and Nanotechnology in Tissue Engineering and Regenerative Medicine, (Zhang LG, Fisher JP, and Leung K, Eds.).  Elsevier, ISBN: 9780128005477, Chapter 11."
45,OR090169,"Ahmed N, Iu J, Brown CE, et al.  2014.  Serum and growth factor free 3D culture system supports cartilage tissue formation by promoting collagen synthesis via Sox9-Col2a1 interaction.  Tissue Eng Part A 20(15-16):2224-2233."
