,doi
0,10.2144/04365st01
1,10.1002/jcb.10712
2,10.1081/cnv-120025093
4,10.1097/00129492-200409000-00027
5,10.1097/00129492-200307000-00022
6,10.1097/00129492-200403000-00012
7,10.1016/s0161-5890(01)00101-8
8,10.1038/nn792
9,10.1016/s0304-419x(02)00082-3
10,10.1016/s0959-437x(00)00190-8
11,10.1016/j.cancergencyto.2005.04.003
12,10.1002/ijc.10840
13,10.1212/01.wnl.0000125249.36445.cc
14,10.1523/jneurosci.2981-05.2005
16,10.1523/jneurosci.23-18-07207.2003
17,10.1002/mrm.10038
18,10.1002/mrm.10242
19,10.1016/s0969-2126(03)00052-2
21,10.1107/s0907444901021175
23,10.1016/s0969-2126(03)00125-4
25,10.1016/j.jmb.2004.02.057
26,10.1212/01.wnl.0000250332.89420.e6
28,10.1128/iai.72.1.89-93.2004
29,10.1158/0008-5472.can-04-2253
31,10.1016/j.jim.2003.11.004
32,10.1002/ijc.11636
34,10.1126/science.1063097
35,10.1128/mcb.23.22.8058-8069.2003
36,10.1074/jbc.m213244200
37,10.1084/jem.194.1.57
38,10.1016/s0002-9440(10)63233-6
39,10.1172/jci19195
40,10.1101/gad.1335605
41,10.1074/jbc.m208181200
42,10.1016/j.pediatrneurol.2007.01.009
43,10.1002/dvdy.20883
45,10.1186/1471-2148-5-69
47,10.1097/01.mao.0000180484.24242.54
49,10.1097/01.mlg.0000195076.05466.6c
51,10.2353/ajpath.2006.050859
52,10.1016/j.ccr.2004.10.016
53,10.1016/j.mrfmmm.2006.11.031
54,10.1128/mcb.23.6.2213-2224.2003
56,10.1046/j.1471-4159.2003.01503.x
58,10.1016/j.ccr.2005.07.004
59,10.1038/sj.onc.1208813
60,10.1016/j.ccr.2005.08.011
61,10.1158/0008-5472.can-03-4079
62,10.1016/j.devcel.2004.05.007
63,10.1038/sj.onc.1207858
64,10.1097/00062752-200207000-00008
66,10.1016/s0896-6273(02)01128-5
67,10.1242/dev.02162
69,10.1038/sj.onc.1206593
70,10.1038/ng1059
72,10.1016/s1097-2765(03)00382-4
73,10.1101/gad.1054603
75,10.1016/s0165-0270(02)00349-7
76,10.1016/s1535-6108(02)00078-8
77,10.1385/1-59259-328-3:223
78,10.1038/nrc1213
79,10.1002/cncr.11275
80,10.1016/s0959-437x(02)00016-3
82,10.1016/s0092-8674(03)00155-7
83,10.1182/blood-2003-08-2650
84,10.1002/0471675067.mmc026
85,10.1073/pnas.0401236101
86,10.1038/sj.onc.1208110
87,10.1128/mcb.23.8.2883-2892.2003
88,10.1002/jcp.20844
89,10.1128/mcb.25.24.11184-11190.2005
90,10.1186/1471-2202-7-22
91,10.1016/j.cub.2005.09.043
92,10.1128/mcb.25.7.2632-2643.2005
93,10.1523/jneurosci.23-26-08949.2003
94,10.1158/0008-5472.can-05-1842
96,10.1002/glia.20501
97,10.1093/hmg/ddm059
98,10.1158/0008-5472.can-06-2220
99,10.1002/ana.20912
100,10.1172/jci28271
101,10.1002/ana.20337
103,10.1038/nrc1653
104,10.1158/0008-5472.can-04-4058
105,10.1097/01.pas.0000213330.71745.39
106,10.1038/sj.onc.1207794
107,10.1073/pnas.0405971102
108,10.1111/j.1399-0004.2008.01060.x
109,10.1212/01.wnl.0000163982.78900.ad
110,10.1093/hmg/ddl165
113,10.1152/jn.00489.2005
114,10.1016/j.neuroscience.2005.09.030
115,10.1016/j.ccr.2006.10.003
117,10.1073/pnas.0503224102
118,10.1016/j.tcb.2004.05.003
119,10.1080/08977190500130480
120,10.1016/s0076-6879(05)07001-1
121,10.1080/08977190701830375
122,10.1158/0008-5472.can-03-3798
123,10.1385/1-59259-830-7:341
124,10.1021/la050332n
125,10.1007/978-1-59745-039-3_14
126,10.1111/j.1525-1470.2006.00180.x
127,10.1097/01.mop.0000171319.84053.45
128,10.1038/ng1920
129,10.1182/blood-2005-11-011486
131,10.1016/j.mcn.2006.11.003
132,10.1038/sj.onc.1210923
133,10.1002/glia.20578
134,10.1021/jm0701829
135,10.1016/j.bmcl.2006.05.029
136,10.1016/j.bcp.2006.04.010
138,10.1124/jpet.105.091454
140,10.1124/jpet.109.160192
141,10.4255/mcpharmacol.09.01
142,10.1038/sj.onc.1209264
143,10.1002/jnr.20646
144,10.1002/jnr.21226
145,10.1038/labinvest.3700675
146,10.1002/mc.20236
147,10.1017/s0317167100005357
148,10.3181/0809-rm-275
149,10.1523/jneurosci.3370-06.2007
150,10.1371/journal.pgen.1000277
151,10.1016/j.ygeno.2006.03.016
152,10.1007/s00439-005-0002-3
153,10.1002/humu.20255
154,10.1136/jmg.2005.033795
155,10.1002/gcc.20226
156,10.1002/gcc.20207
157,10.1158/0008-5472.can-04-3651
158,10.3892/ijo.29.4.935
159,10.1002/ijc.21868
160,10.1002/gcc.20331
161,10.1186/1471-2164-8-16
162,10.1038/sj.cdd.4402057
163,10.1158/1078-0432.ccr-06-0792
164,10.1038/onc.2009.360
165,10.1158/0008-5472.can-05-3330
166,10.1002/emmm.200900027
167,10.1136/jnnp.2006.108134
169,10.1016/j.jpeds.2013.06.038
170,10.1016/j.jpeds.2014.12.012
171,10.1080/09297049.2010.542746
172,10.1016/j.jpeds.2010.10.001
173,10.2164/jandrol.106.000398
174,10.1083/jcb.200705132
175,10.1073/pnas.0510651103
176,10.1212/01.wnl.0000244472.56198.84
177,10.1158/0008-5472.can-08-0190
178,10.1002/jcb.21506
179,10.1158/0008-5472.can-05-1628
180,10.1002/ijc.21450
181,10.1038/sj.onc.1208057
182,10.1038/sj.onc.1208335
183,10.1128/mcb.01392-08
184,10.1093/jnen/63.10.1015
185,10.1038/sj.cgt.7701037
188,10.1158/1078-0432.ccr-06-0263
189,10.1016/j.ymthe.2006.08.174
190,10.1089/hum.2006.17.20
192,10.1038/ng0407-443
193,10.1101/gad.1466806
194,10.1523/jneurosci.0933-07.2007
195,10.1002/jnr.22134
196,10.1097/01.mlg.0000240185.14224.7d
197,10.1097/mao.0b013e31816021f7
198,10.1186/1471-2121-9-1
199,10.1091/mbc.e05-05-0403
200,10.1038/nrmicro1578
201,10.1016/j.molcel.2006.05.011
202,10.1091/mbc.e08-01-0033
203,10.1016/j.nlm.2006.10.003
204,10.1111/j.1471-4159.2006.04185.x
205,10.1016/j.jneumeth.2006.06.002
206,10.1523/jneurosci.2284-05.2005
207,10.1016/j.neuron.2005.05.013
208,10.1161/01.hyp.0000257914.80918.72
209,10.1016/j.mcn.2005.01.007
210,10.1016/j.febslet.2004.12.074
211,10.1038/sj.onc.1210988
212,10.1093/hmg/ddm122
213,10.1038/sj.onc.1208283
214,10.1074/jbc.m411353200
215,10.1038/sj.onc.1209475
216,10.1093/hmg/ddl108
218,10.1093/hmg/ddl208
219,10.1172/jci29092
221,10.1182/blood-2006-03-007997
222,10.1182/blood-2005-05-1985
223,10.1093/hmg/ddl114
224,10.1002/glia.20482
225,10.1093/hmg/ddt333
228,10.1093/hmg/ddm366
229,10.1371/journal.pone.0024917
232,10.1016/j.chembiol.2008.03.005
234,10.1016/j.str.2007.01.001
235,10.1074/jbc.m700253200
236,10.1007/978-3-540-72843-6_18
237,10.1016/j.expneurol.2009.04.019
239,10.1158/1535-7163.mct-09-0102
240,10.1083/jcb.200703010
242,10.1016/j.tcb.2009.02.006
243,10.1038/sj.bjc.6604002
245,10.1128/mcb.01139-07
247,10.1016/j.mrfmmm.2007.07.015
248,10.1016/j.cell.2008.09.060
249,10.1016/j.exer.2005.09.013
250,10.1101/sqb.2005.70.025
251,10.1016/j.cmet.2006.10.010
252,10.1182/blood-2006-05-025395
253,10.1038/nrc2109
254,10.1101/gad.1587907
256,10.1093/hmg/ddm032
