,citations,citations_rank,news,news_rank,twitter,twitter_rank,program,DOI
5695,1762.0,1.0,3.0,117.0,110.0,16.0,PCRP,10.1056/nejmoa1207506
4824,1693.0,2.0,,,4.0,473.0,PCRP,10.1016/j.ccr.2010.05.026
4186,1047.0,3.0,1.0,200.0,,,PCRP,10.1126/science.1168175
676,1036.0,4.0,,,2.0,766.0,TSCRP,10.1016/j.cell.2010.02.024
5909,976.0,5.0,,,23.0,111.0,PCRP,10.1038/nature11125
4572,1.0,2681.0,,,,,PCRP,10.1118/1.3285041
8538,1.0,2681.0,,,2.0,766.0,PRORP,10.5435/jaaos-d-16-00239
4215,1.0,2681.0,,,,,PCRP,10.1016/j.cellsig.2009.09.005
8587,1.0,2681.0,,,2.0,766.0,PRORP,10.3389/fneur.2018.00408
8531,1.0,2681.0,,,1.0,1014.0,PRORP,10.1080/21623945.2018.1423911
8563,1.0,2681.0,,,15.0,169.0,PRORP,10.1016/j.biomaterials.2018.11.010
5370,1.0,2681.0,,,,,PCRP,10.1177/2211068212458265
8569,1.0,2681.0,7.0,65.0,3.0,588.0,PRORP,10.1109/tnsre.2018.2838448
4831,1.0,2681.0,,,,,PCRP,10.1016/j.ijrobp.2009.01.020
8570,1.0,2681.0,48.0,6.0,1.0,1014.0,PRORP,10.1055/s-0037-1608947
8529,1.0,2681.0,,,4.0,473.0,PRORP,10.1002/jcp.26504
8571,1.0,2681.0,,,,,PRORP,10.5301/hipint.5000568
8574,1.0,2681.0,,,,,PRORP,10.1177/0192623317735786
8490,1.0,2681.0,,,4.0,473.0,PRORP,10.1097/shk.0000000000001037
5232,1.0,2681.0,,,,,PCRP,10.1016/j.nima.2012.08.040
7419,1.0,2681.0,,,3.0,588.0,PCRP,10.1002/mp.12861
4049,1.0,2681.0,,,,,PCRP,10.1111/j.1464-410x.2010.09214.x
7109,1.0,2681.0,,,4.0,473.0,PCRP,10.1038/s41598-017-17393-z
7130,1.0,2681.0,33.0,11.0,21.0,121.0,PCRP,10.1038/s41467-018-06067-7
7126,1.0,2681.0,,,2.0,766.0,PCRP,10.1002/pros.23161
7517,1.0,2681.0,,,25.0,97.0,PCRP,10.1172/jci96769
7518,1.0,2681.0,,,15.0,169.0,PCRP,10.1158/0008-5472.can-18-0687
7520,1.0,2681.0,,,83.0,28.0,PCRP,10.1158/0008-5472.can-18-0610
7113,1.0,2681.0,,,,,PCRP,10.1007/s11914-018-0471-7
7535,1.0,2681.0,,,1.0,1014.0,PCRP,10.18632/oncotarget.21085
6924,1.0,2681.0,,,2.0,766.0,PCRP,10.1038/onc.2016.313
7553,1.0,2681.0,,,,,PCRP,10.1002/pros.23464
7558,1.0,2681.0,,,2.0,766.0,PCRP,10.1158/1541-7786.mcr-18-0322
7070,1.0,2681.0,,,2.0,766.0,PCRP,10.1007/s13187-016-0991-8
7053,1.0,2681.0,,,1.0,1014.0,PCRP,10.1021/acs.molpharmaceut.5b00948
6953,1.0,2681.0,,,1.0,1014.0,PCRP,10.1016/j.clgc.2016.07.011
7591,1.0,2681.0,,,3.0,588.0,PCRP,10.1038/s41388-018-0278-0
7497,1.0,2681.0,,,19.0,134.0,PCRP,10.1016/j.juro.2018.06.031
7218,1.0,2681.0,,,,,PCRP,10.1016/j.urolonc.2016.12.016
7247,1.0,2681.0,,,13.0,193.0,PCRP,10.1158/0008-5472.can-17-2332
7275,1.0,2681.0,,,3.0,588.0,PCRP,10.1097/mnm.0000000000000383
7279,1.0,2681.0,,,,,PCRP,10.1007/s10637-016-0334-y
7304,1.0,2681.0,,,1.0,1014.0,PCRP,10.1007/s11307-017-1057-y
7468,1.0,2681.0,3.0,117.0,63.0,37.0,PCRP,10.1200/jco.18.01279
