,citations,citations_rank,news,news_rank,twitter,twitter_rank,program,DOI
4285,340.0,32.0,83.0,1.0,73.0,34.0,PCRP,10.1126/science.1179052
7530,20.0,1372.0,71.0,2.0,244.0,1.0,PCRP,10.1038/nbt.3843
7606,4.0,2455.0,65.0,3.0,33.0,75.0,PCRP,10.1001/jamaoncol.2018.1093
7531,3.0,2508.0,52.0,4.0,6.0,363.0,PCRP,10.1016/j.stemcr.2017.11.016
2508,54.0,536.0,51.0,5.0,,,PCRP,10.1002/cncr.24539
7614,,,1.0,200.0,2.0,766.0,PCRP,10.1038/s41388-018-0448-0
7292,,,1.0,200.0,1.0,1014.0,PCRP,10.1056/nejmc1410239
7567,2.0,2592.0,1.0,200.0,3.0,588.0,PCRP,10.1038/s41379-018-0083-x
7295,71.0,380.0,1.0,200.0,24.0,102.0,PCRP,10.1016/s1470-2045(15)70113-0
8526,,,1.0,200.0,,,PRORP,10.1126/scitranslmed.3010168
7471,8.0,2111.0,1.0,200.0,82.0,30.0,PCRP,10.1038/nature22820
8561,,,1.0,200.0,7.0,307.0,PRORP,10.3389/fbioe.2015.00115
7125,,,1.0,200.0,1.0,1014.0,PCRP,10.2967/jnumed.118.220715
7241,45.0,663.0,1.0,200.0,26.0,92.0,PCRP,10.1016/j.eururo.2016.08.037
7454,49.0,598.0,1.0,200.0,4.0,473.0,PCRP,10.1038/pcan.2016.17
7284,6.0,2280.0,1.0,200.0,20.0,127.0,PCRP,10.1038/pcan.2016.71
8576,8.0,2111.0,1.0,200.0,3.0,588.0,PRORP,10.1128/aac.01251-16
8578,,,1.0,200.0,1.0,1014.0,PRORP,10.1038/onc.2016.240
7449,2.0,2592.0,1.0,200.0,18.0,142.0,PCRP,10.1038/s41571-018-0085-0
7348,682.0,10.0,1.0,200.0,153.0,6.0,PCRP,10.1038/nrc.2016.108
8592,,,1.0,200.0,,,PRORP,10.1115/1.4039342
7588,8.0,2111.0,1.0,200.0,85.0,23.0,PCRP,10.1016/j.cell.2018.06.014
8593,,,1.0,200.0,,,PRORP,10.1109/tnsre.2018.2848845
7098,9.0,2032.0,1.0,200.0,,,PCRP,10.1111/iju.13170
7381,156.0,137.0,1.0,200.0,111.0,15.0,PCRP,10.1038/nm.4053
7395,,,1.0,200.0,7.0,307.0,PCRP,10.1038/s41388-018-0462-2
7089,8.0,2111.0,1.0,200.0,2.0,766.0,PCRP,10.1002/cbic.201402421
7599,,,1.0,200.0,16.0,157.0,PCRP,10.1200/edbk_200967
7313,47.0,623.0,1.0,200.0,3.0,588.0,PCRP,10.1038/pcan.2014.53
7316,,,1.0,200.0,2.0,766.0,PCRP,10.1038/nrurol.2014.308
8372,10.0,1962.0,1.0,200.0,5.0,406.0,PRORP,10.1097/mao.0000000000000795
