,citations,citations_rank,news,news_rank,twitter,twitter_rank,program,grant_id,type,n_dois,authors_count,award_amount
1051,96.6,125.0,83.0,1.0,37.5,44.0,PCRP,PC060385,Idea Development Award,6,9.5,0.57147
2135,4.0,1173.0,65.0,2.0,33.0,51.0,PCRP,PC161026,Clinical Consortium Research Site Award,3,15.333333333333334,1.272
2078,2.0,1226.0,52.0,3.0,3.5,350.0,PCRP,PC150714,Impact Award,4,5.8,1.2
2425,2.2,1225.0,48.0,4.0,5.0,253.0,PRORP,OR140148,Translational Research Award,5,4.8,1.086472
2077,11.0,918.0,38.5,5.0,124.5,6.0,PCRP,PC150704,Idea Development Award - Established Investigator,2,11.5,0.58239
1939,26.7,537.0,1.3333333333333333,193.0,13.272727272727273,115.0,PCRP,PC131820,Physician Research Training Award,12,10.272727272727273,0.561227
1951,19.235294117647058,686.0,1.25,194.0,10.6875,141.0,PCRP,PC131935,Clinical Consortium Award - Clinical Research Site,22,12.285714285714286,0.922805
1421,101.9090909090909,111.0,1.1428571428571428,195.0,4.75,273.0,PCRP,PC081610,Clinical Consortium Award - Coordinating Center with Option for Clinical Research Site,96,11.68041237113402,11.303943
2393,15.0,804.0,1.0,196.0,1.0,649.0,PRORP,OR110135P2,Translational Research Partnership Award,5,5.6,0.546273
2370,29.5,493.0,1.0,196.0,2.375,484.0,PRORP,OR090562,Idea Development Award,24,5.625,0.583076
2431,,,1.0,196.0,,,PRORP,OR160120,Applied Research Award,3,3.6666666666666665,0.499999
2461,7.5,1056.0,1.0,196.0,,,TSCRP,TS080017,Idea Development Award,2,6.5,0.4823
2353,48.5,284.0,1.0,196.0,3.0,367.0,PRORP,OR090203P2,Translational Research Partnership Award,6,4.833333333333333,0.24
2104,2.0,1226.0,1.0,196.0,3.0,367.0,PCRP,PC160336,Health Disparity Research Award - EI/Qualified Collaborator/Nested Young Investigator Option,1,13.0,1.17029
2391,15.0,804.0,1.0,196.0,1.0,649.0,PRORP,OR110135,Translational Research Partnership Award,4,5.5,0.620465
2427,9.666666666666666,977.0,1.0,196.0,62.666666666666664,20.0,PRORP,OR140380,Expansion Award,9,7.333333333333333,1.645663
2426,5.0,1143.0,1.0,196.0,3.0,367.0,PRORP,OR140356,Expansion Award,2,10.0,1.661567
2099,6.0,1103.0,1.0,196.0,20.0,79.0,PCRP,PC160018,Physician Research Award,1,14.0,0.906522
2392,13.0,851.0,1.0,196.0,1.0,649.0,PRORP,OR110135P1,Translational Research Partnership Award,5,6.0,0.024849
2352,48.5,284.0,1.0,196.0,3.0,367.0,PRORP,OR090203P1,Translational Research Partnership Award,6,4.833333333333333,0.359993
2394,35.625,398.0,1.0,196.0,3.25,365.0,PRORP,OR110196,Translational Research Partnership Award,9,3.7777777777777777,0.883968
2125,8.0,1026.0,1.0,196.0,85.0,8.0,PCRP,PC160992,Early Investigator Research Award - Postdoctoral,1,23.0,0.198125
2351,48.5,284.0,1.0,196.0,3.0,367.0,PRORP,OR090203,Translational Research Partnership Award,6,4.833333333333333,0.6
2259,,,1.0,196.0,1.0,649.0,PCRP,PC990048,Postdoctoral Traineeship Award,2,5.0,0.084
2040,8.0,1026.0,1.0,196.0,82.0,12.0,PCRP,PC141542,Physician Research Training Award,1,18.0,0.501879
2064,16.0,770.0,1.0,196.0,44.0,35.0,PCRP,PC150288,Postdoctoral Training Award,1,14.0,0.194539
2271,,,1.0,196.0,,,PCRP,PC991089,New Investigator Award,10,4.6,0.368347
2330,,,1.0,196.0,,,PCRP,PC991568,New Investigator Award,6,5.666666666666667,0.342001
2505,6.5,1094.0,1.0,196.0,10.5,143.0,TSCRP,TS130081,Idea Development Award - Optional Qualified Collaborator,2,5.5,0.529223
2395,34.0,418.0,1.0,196.0,3.0,367.0,PRORP,OR110196P1,Translational Research Partnership Award,9,4.0,0.266794
2406,9.4,987.0,1.0,196.0,3.2,366.0,PRORP,OR120163,Idea Development Award - Nested Career Development Option,5,7.5,0.960349
2333,,,1.0,196.0,1.0,649.0,PCRP,PC992004,Prostate Cancer Center Initiation Award,17,4.4375,1.764226
2334,,,1.0,196.0,1.0,649.0,PCRP,PC992018,Prostate Cancer Center Initiation Award,7,3.4285714285714284,2.200891
2344,33.666666666666664,428.0,1.0,196.0,1.0,649.0,PRORP,OR090119P1,Translational Research Partnership Award,6,5.833333333333333,0.68033
2495,11.0,918.0,1.0,196.0,21.0,76.0,TSCRP,TS120072,Idea Development Award,2,7.5,0.658341
2065,9.0,989.0,1.0,196.0,2.0,495.0,PCRP,PC150300P1,Idea Development Award - Established Investigator - Partnering PI Option,1,8.0,0.37625
2066,9.0,989.0,1.0,196.0,2.0,495.0,PCRP,PC150300P2,Idea Development Award - Established Investigator - Partnering PI Option,1,8.0,0.37625
2069,6.0,1103.0,1.0,196.0,7.833333333333333,193.0,PCRP,PC150456,Idea Development Award - Established Investigator - Partnering PI Option,6,13.5,0.564375
2076,16.0,770.0,1.0,196.0,3.0,367.0,PCRP,PC150697,Idea Development Award - Established Investigator,1,11.0,0.564044
2470,22.666666666666668,612.0,1.0,196.0,2.0,495.0,TSCRP,TS093052,Idea Development Award,3,10.666666666666666,0.697156
2462,124.42857142857143,82.0,1.0,196.0,12.5,122.0,TSCRP,TS080031,Idea Development Award,10,5.0,0.675002
2419,6.0,1103.0,1.0,196.0,4.0,286.0,PRORP,OR130296,Idea Development Award,2,6.0,0.77
9,,,1.0,196.0,,,NFRP,NF000027,Clinical Trial Award,1,15.0,0.365683
2004,11.75,906.0,1.0,196.0,3.4285714285714284,361.0,PCRP,PC140665,Idea Development Award - Established Investigator,7,8.5,0.578896
1484,73.4,168.0,1.0,196.0,1.0,649.0,PCRP,PC094021,Physician Research Training Award,5,7.166666666666667,0.683345
1060,33.5,430.0,1.0,196.0,,,PCRP,PC060443,Idea Development Award,3,12.666666666666666,0.482622
1138,38.0,362.0,1.0,196.0,,,PCRP,PC061300,Idea Development Award,7,4.142857142857143,0.489752
1151,117.375,91.0,1.0,196.0,1.0,649.0,PCRP,PC061456,New Investigator Award,14,6.625,0.317157
1162,38.714285714285715,358.0,1.0,196.0,3.0,367.0,PCRP,PC061664,Physician Research Training Award,10,8.909090909090908,0.692903
1166,104.25,105.0,1.0,196.0,9.333333333333334,164.0,PCRP,PC073073,Physician Research Training Award,9,8.1,0.687654
1170,26.666666666666668,538.0,1.0,196.0,,,PCRP,PC073097,Idea Development Award,3,6.666666666666667,0.377883
1289,26.0,544.0,1.0,196.0,4.0,286.0,PCRP,PC074201,Synergistic Idea Development Award,4,7.0,0.62031
1323,61.666666666666664,216.0,1.0,196.0,3.0,367.0,PCRP,PC080262,Idea Development Award,4,11.25,0.490179
1337,100.3,114.0,1.0,196.0,7.0,200.0,PCRP,PC080421,Clinical Consortium Award - Clinical Research Site,12,12.833333333333334,1.323114
1341,38.5,359.0,1.0,196.0,,,PCRP,PC080441,Idea Development Award,5,7.0,0.585
1355,76.16666666666667,162.0,1.0,196.0,14.0,106.0,PCRP,PC080571,Idea Development Award,6,16.666666666666668,0.710378
1374,41.18181818181818,341.0,1.0,196.0,,,PCRP,PC080920,Idea Development Award,12,6.25,0.48563
1394,60.0,220.0,1.0,196.0,,,PCRP,PC081119,Idea Development Award,1,15.0,0.6375
1410,34.5,414.0,1.0,196.0,1.3333333333333333,633.0,PCRP,PC081400,New Investigator Award,5,7.2,0.171347
1424,71.71428571428571,174.0,1.0,196.0,4.0,286.0,PCRP,PC081629,Clinical Consortium Award - Clinical Research Site,8,15.0,1.306217
1426,189.45454545454547,46.0,1.0,196.0,4.0,286.0,PCRP,PC081633,Clinical Consortium Award - Clinical Research Site,14,12.642857142857142,1.334947
1445,91.0,134.0,1.0,196.0,8.5,174.0,PCRP,PC093124,Idea Development Award,2,4.0,0.693
1454,144.0,64.0,1.0,196.0,11.0,134.0,PCRP,PC093372,Synergistic Idea Development Award,1,17.0,0.692527
1468,63.8,208.0,1.0,196.0,1.0,649.0,PCRP,PC093666,Idea Development Award,7,4.714285714285714,0.685893
1012,363.6666666666667,11.0,1.0,196.0,,,PCRP,PC051382,Clinical Consortium Award - Coordinating Center Option,28,9.612903225806452,4.999999
1007,14.0,824.0,1.0,196.0,2.0,495.0,PCRP,PC051373,Health Disparity Training-Prostate Scholar Award: Postdoctoral Traineeship,3,5.0,0.1875
