,citations_per_$,citations_per_$_rank,news_per_$,news_per_$_rank,twitter_per_$,twitter_per_$_rank,program,grant_id,type,n_dois,authors_count,award_amount
1687,1124.6502895277397,32.0,213.77650131519022,1.0,139.41945737947188,30.0,PCRP,PC110106,Postdoctoral Training Award,3,9.0,0.107589
1051,169.03774476350463,290.0,145.23947013841496,2.0,65.6202425324164,64.0,PCRP,PC060385,Idea Development Award,6,9.5,0.57147
2093,84.38818565400844,482.0,121.30801687763714,3.0,680.379746835443,3.0,PCRP,PC151055,Postdoctoral Training Award,1,10.0,0.1896
2009,50.441361916771754,662.0,113.49306431273645,4.0,37.83102143757882,108.0,PCRP,PC140690P2,Synergistic Idea Development Award,1,15.0,0.0793
1558,1998.218730731462,12.0,102.76553472333234,5.0,296.8782114229601,8.0,PCRP,PC094715,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,2,20.0,0.087578
2334,,,0.45436143816299857,315.0,0.45436143816299857,925.0,PCRP,PC992018,Prostate Cancer Center Initiation Award,7,3.4285714285714284,2.200891
1830,2.576969054896599,1250.0,0.28632989498851097,316.0,0.7635463866360293,914.0,PCRP,PC121111,Transformative Impact Award,7,15.142857142857142,6.98495
164,,,0.275464184697634,317.0,0.275464184697634,927.0,NFRP,NF970002,Natural History Study Award,9,5.444444444444445,3.630236
1012,72.73334788000291,532.0,0.200000040000008,318.0,,,PCRP,PC051382,Clinical Consortium Award - Coordinating Center Option,28,9.612903225806452,4.999999
1421,9.015357818868239,1141.0,0.10110252173574678,319.0,0.4202073559641976,926.0,PCRP,PC081610,Clinical Consortium Award - Coordinating Center with Option for Clinical Research Site,96,11.68041237113402,11.303943
