,citations,citations_rank,news,news_rank,twitter,twitter_rank,program,grant_id,type,n_dois,authors_count,award_amount
2488,264.0,23.0,34.0,6.0,189.0,1.0,TSCRP,TS110056,Idea Development Award,1,17.0,0.704306
2124,,,8.0,49.0,149.0,2.0,PCRP,PC160986,Early Investigator Research Award - Postdoctoral,1,43.0,0.157501
2056,16.0,770.0,23.0,10.0,129.0,3.0,PCRP,PC150144,Idea Development Award - Established Investigator,1,10.0,0.566325
2093,16.0,770.0,23.0,10.0,129.0,3.0,PCRP,PC151055,Postdoctoral Training Award,1,10.0,0.1896
2112,,,6.0,65.0,128.0,5.0,PCRP,PC160432,Physician Research Award,2,36.0,0.891279
608,83.0,143.0,14.333333333333334,26.0,1.2,647.0,PCRP,PC021004,Consortium Overall,126,7.426470588235294,10.087129
1664,15.833333333333334,798.0,1.5,188.0,1.1666666666666667,648.0,PCRP,PC102029,Prostate Cancer Training Award - Postdoctoral - Ph.D or MD,17,5.882352941176471,0.1242
2345,2.0,1226.0,,,1.0,649.0,PRORP,OR090122,Technology Development Award,3,4.333333333333333,2.075372
609,22.5,615.0,29.0,8.0,1.0,649.0,PCRP,PC021005,Consortium Overall,5,8.8,14.13589
1696,,,,,1.0,649.0,PCRP,PC110349,Postdoctoral Training Award,2,8.0,0.104113
1763,,,,,1.0,649.0,PCRP,PC111594,Idea Development Award - New Investigator Option,1,3.0,0.350452
2346,13.5,842.0,,,1.0,649.0,PRORP,OR090134,Hypothesis Development Award,4,7.0,0.151538
126,32.0,443.0,,,1.0,649.0,NFRP,NF110091,Investigator-Initiated Research Award,1,14.0,0.811125
2344,33.666666666666664,428.0,1.0,196.0,1.0,649.0,PRORP,OR090119P1,Translational Research Partnership Award,6,5.833333333333333,0.68033
77,57.0,237.0,,,1.0,649.0,NFRP,NF050171,Investigator-Initiated Research Award,3,5.0,0.879128
1655,5.0,1143.0,,,1.0,649.0,PCRP,PC101949,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,1,6.0,0.096554
2340,21.666666666666668,632.0,,,1.0,649.0,PRORP,OR090043,Idea Development Award,3,2.3333333333333335,0.657229
1699,,,,,1.0,649.0,PCRP,PC110379,Exploration - Hypothesis Development Award,1,11.0,0.112125
618,,,,,1.0,649.0,PCRP,PC030061,Exploration - Hypothesis Development Award,4,5.25,0.089457
1654,78.5,152.0,,,1.0,649.0,PCRP,PC101946,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,3,17.0,0.079765
1765,21.0,645.0,4.0,91.0,1.0,649.0,PCRP,PC111595,Synergistic Idea Development Award,1,10.0,0.585
