,citations_per_$,citations_per_$_rank,news_per_$,news_per_$_rank,twitter_per_$,twitter_per_$_rank,program,grant_id,type,n_dois,authors_count,award_amount
2124,,,50.793328296328276,16.0,946.0257395191142,1.0,PCRP,PC160986,Early Investigator Research Award - Postdoctoral,1,43.0,0.157501
2119,,,95.95892957814056,6.0,755.6765704278569,2.0,PCRP,PC160725,Early Investigator Research Award - Predoctoral,1,17.0,0.083369
2093,84.38818565400844,482.0,121.30801687763714,3.0,680.379746835443,3.0,PCRP,PC151055,Postdoctoral Training Award,1,10.0,0.1896
2047,1144.897941746909,30.0,42.72007245324288,23.0,657.8891157799403,4.0,PCRP,PC141607,Postdoctoral Training Award,1,17.0,0.117041
2125,40.37854889589905,741.0,5.047318611987381,150.0,429.02208201892745,5.0,PCRP,PC160992,Early Investigator Research Award - Postdoctoral,1,23.0,0.198125
83,2.972222552469172,1240.0,,,0.20000002222222468,930.0,NFRP,NF060016,Consortium Overall,5,10.0,8.999999
2385,0.12135972125174578,1296.0,,,0.18575467538532517,931.0,PRORP,OR090851,Clinical Consortium Award,10,8.8,34.607858
2386,0.6091820796501508,1290.0,,,0.16921724434726412,932.0,PRORP,OR100017,Orthopaedic Rehabilitation Clinical Consortium Award,6,3.5,19.698544
608,8.228307578895839,1154.0,1.4209527144277956,284.0,0.11896348306837358,933.0,PCRP,PC021004,Consortium Overall,126,7.426470588235294,10.087129
609,1.5916932007818396,1268.0,2.0515156810077047,238.0,0.07074192003474843,934.0,PCRP,PC021005,Consortium Overall,5,8.8,14.13589
